objectid,title,creator,date,description,subject,location,source,type,language,rights,rightsstatement,display_template,identifier,format,object_location,image_small,image_thumb,image_alt_text
buck024,1933 Buck in front of the Even Post,,1933,"A photograph of Pearl Buck by the Even Post, 1933",Pearl S. Buck; Randolph-Macon Woman's College; Even Post,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1933_evenpost,image/jpeg,/objects/1933_evenpost.jpg,/objects/small/1933_evenpost_sm.jpg,/objects/thumbs/1933_evenpost_th.jpg,
buck025,1933 Buck and friends by campus cottage,,1933,"A photograph of Pearl Buck and her friends by a campus cottage, 1933",Pearl S. Buck; Randolph-Macon Woman's College; Campus Cottage,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1933_house,image/jpeg,/objects/1933_house.jpg,/objects/small/1933_house_sm.jpg,/objects/thumbs/1933_house_th.jpg,
buck026,1933 Buck in front of Main Hall,,1933,"A photograph of Pearl Buck in front of Main Hall, 1933",Pearl S. Buck; Randolph-Macon Woman's College; Main Hall,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1933_mainhall,image/jpeg,/objects/1933_mainhall.jpg,/objects/small/1933_mainhall_sm.jpg,/objects/thumbs/1933_mainhall_th.jpg,
buck027,"1955 Alumnae Bulletin ""Notes on Welcome House""","Buck, Pearl Sydenstricker ",1955,An essay written by Pearl Buck for the November 1955 Alumnae Bulletin,Pearl S. Buck; Randolph-Macon Woman's College; Alumnae Bulletin; Essay,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;Text,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,1955_alumnaebulletin_welcomehome,application/pdf,/objects/1955_alumnaebulletin_welcomehome.pdf,/objects/small/1955_alumnaebulletin_welcomehome_sm.jpg,/objects/thumbs/1955_alumnaebulletin_welcomehome_th.jpg,
buck028,"1964 Commencement Address ""You and Your Miracle""","Buck, Pearl Sydenstricker ",1964,"Commencement Address delivered by Pearl Buck, June 7, 1964",Pearl S. Buck; Randolph-Macon Woman's College; Commencement Address,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;Text,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,19640607_commencementspeach,application/pdf,/objects/19640607_commencementspeach.pdf,/objects/small/19640607_commencementspeach_sm.jpg,/objects/thumbs/19640607_commencementspeach_th.jpg,
buck029,1964 Buck and friends,,1964,"A photo of Pearl Buck and friends during a return visit to campus, 1964",Pearl S. Buck; Randolph-Macon Woman's College,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1964_classmates,image/jpeg,/objects/1964_classmates.jpg,/objects/small/1964_classmates_sm.jpg,/objects/thumbs/1964_classmates_th.jpg,
buck030,1964 Buck at commencement,,1964,A photo of Pearl Buck and President Quillian before 1964 commencement,Pearl S. Buck; Randolph-Macon Woman's College; William Quillian; Commencement,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,1964_commencement,image/jpeg,/objects/1964_commencement.jpg,/objects/small/1964_commencement_sm.jpg,/objects/thumbs/1964_commencement_th.jpg,
buck031,"1973 Alumnae Bulletin ""Pearl S. Buck""","White, Emma Edmunds ",1973,An essay written by Emma Edmunds White for the Summer 1973 Alumnae Bulletin,Pearl S. Buck; Randolph-Macon Woman's College; Essay: Emma Edmunds White,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;Text,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,1973_alumnaebulletin_psb_eew,application/pdf,/objects/1973_alumnaebulletin_psb_eew.pdf,/objects/small/1973_alumnaebulletin_psb_eew_sm.jpg,/objects/thumbs/1973_alumnaebulletin_psb_eew_th.jpg,
buck032,Years Around the Even Post: Pearl S. Buck and Her Alma Mater ,"Abbot, Joy Elizabeth ",1992,"This paper was presented by Joy Elizabeth Abbot '92 at the Pearl S. Buck Centennial Symposium held at Randolph-Macon Woman's College on March 26-28, 1992.",,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;Text,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,pdf,abbott_joy_yearsaroundevenpost,application/pdf,/objects/abbott_joy_yearsaroundevenpost.pdf,/objects/small/abbott_joy_yearsaroundevenpost_sm.jpg,/objects/thumbs/abbott_joy_yearsaroundevenpost_th.jpg,
buck033,Drawn Portrait of Pearl S. Buck,,,Drawn portrait of PSB as an adult,Pearl S. Buck; Portrait,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,buck_adult_portrait,image/jpeg,/objects/buck_adult_portrait.jpg,/objects/small/buck_adult_portrait_sm.jpg,/objects/thumbs/buck_adult_portrait_th.jpg,
buck034,Pearl S. Buck: Book Jacket Portrait,,,This photo was designed by John Bennet for Pearl S. Buck book jackets,Pearl S. Buck; Portrait,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,buck_bookjacket_portrait,image/jpeg,/objects/buck_bookjacket_portrait.jpg,/objects/small/buck_bookjacket_portrait_sm.jpg,/objects/thumbs/buck_bookjacket_portrait_th.jpg,
buck035,Pearl Sydenstricker: Photo as a Young Teenager,,,Photo of a young Pearl Sydenstricker,Pearl S. Buck; Portrait,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,buck_childhood_photo,image/jpeg,/objects/buck_childhood_photo.jpg,/objects/small/buck_childhood_photo_sm.jpg,/objects/thumbs/buck_childhood_photo_th.jpg,
buck036,Caroline and Absalom Buck Wedding Photo,,,Wedding photo of PSB's parents ,Absalon Sydenstricker; Caroline Stulting; Wedding Photo,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,buck_parents_wedding,image/jpeg,/objects/buck_parents_wedding.jpg,/objects/small/buck_parents_wedding_sm.jpg,/objects/thumbs/buck_parents_wedding_th.jpg,
buck037,Autographed photo of Pearl S. Buck,,,"Photo of Pearl Buck signed ""Yours with regard, Pearl S. Buck""",Pearl S. Buck; Portrait,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,buck_photo_signed,image/jpeg,/objects/buck_photo_signed.jpg,/objects/small/buck_photo_signed_sm.jpg,/objects/thumbs/buck_photo_signed_th.jpg,
buck038,Photo of Pearl Sydenstricker,,,Pearl Sydenstricker: Photo as a Young Woman,Pearl S. Buck; Portrait,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,buck_young_photo,image/jpeg,/objects/buck_young_photo.jpg,/objects/small/buck_young_photo_sm.jpg,/objects/thumbs/buck_young_photo_th.jpg,
buck039,Kappa Delta Shield,,1914,Image of the Kappa Delta Shield,Randolph-Macon Woman's College; Helianthus; Kappa Delta,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,kappadelta_shield,image/jpeg,/objects/kappadelta_shield.jpg,/objects/small/kappadelta_shield_sm.jpg,/objects/thumbs/kappadelta_shield_th.jpg,
buck040,Undated Buck and friends at Even Post,,,An undated photo of Pearl Buck and friends at the Even Post,Pearl S. Buck; Randolph-Macon Woman's College; Even Post,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,rmwc_campus_header,image/jpeg,/objects/rmwc_campus_header.jpg,/objects/small/rmwc_campus_header_sm.jpg,/objects/thumbs/rmwc_campus_header_th.jpg,
buck041,Randolph-Macon Woman's College,,,"Early photo of RMWC campus, circa 1910s",Randolph-Macon Woman's College,"Lynchburg, Virginia",Randolph-Macon Woman's College & Randolph College Archives https://library.randolphcollege.edu/,Image;StillImage,eng,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,image,undated_evenpost,image/jpeg,/objects/undated_evenpost.jpg,/objects/small/undated_evenpost_sm.jpg,/objects/thumbs/undated_evenpost_th.jpg,
